,gouvernorat,inves10Mois2017,inves10Mois2018,evolInves%
0,Ariana,100.4,63.9,-36.4
1,B̩ja,155.3,261.8,68.6
2,Ben Arous,339.4,341.0,0.5
3,Bizerte,169.1,144.2,-14.7
4,Gabes,130.2,84.9,-34.8
5,Gafsa,40.3,63.6,57.8
6,Jendouba,56.3,87.3,55.0
7,Kairouan,210.8,107.2,-49.1
8,Kasserine,156.9,51.7,-67.0
9,Kebili,22.9,26.0,13.5
10,Le Kef,102.5,79.8,-22.1
11,Mahdia,78.5,76.1,-3.1
12,La Manouba,75.6,69.4,-8.2
13,Medenine,39.8,105.3,164.6
14,Monastir,165.4,160.8,-2.8
15,Nabeul,173.4,151.3,-12.7
16,Sfax,337.1,243.8,-27.7
17,Sidi Bouzid,108.3,176.6,63.1
18,Siliana,31.1,54.0,73.6
19,Sousse,143.3,164.3,14.7
20,Tataouine,43.8,26.9,-38.6
21,Tozeur,67.7,40.7,-39.9
22,Tunis,96.0,220.6,129.8
23,Zaghouan,156.4,264.6,69.2
