,gouvernorat,nbreProj10Mois2017,nbreProj10Mois2018,evolProj%
0,Ariana,175,203,16.0
1,B̩ja,68,72,5.9
2,Ben Arous,197,193,-2.0
3,Bizerte,120,121,0.8
4,Gabes,62,64,3.2
5,Gafsa,71,68,-4.2
6,Jendouba,49,41,-16.3
7,Kairouan,106,78,-26.4
8,Kasserine,65,48,-26.2
9,Kebili,30,34,13.3
10,Le Kef,25,27,8.0
11,Mahdia,106,99,-6.6
12,La Manouba,74,95,28.4
13,Medenine,63,63,0.0
14,Monastir,290,375,29.3
15,Nabeul,254,282,11.0
16,Sfax,478,438,-8.4
17,Sidi Bouzid,94,88,-6.4
18,Siliana,30,22,-26.7
19,Sousse,261,335,28.4
20,Tataouine,26,28,7.7
21,Tozeur,95,87,-8.4
22,Tunis,191,246,28.8
23,Zaghouan,121,107,-11.6
